GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jillion,org.jcvi.jillion.internal.core.util,GrowableShortArray,39,683,9,43,6,148,10,50,2,32
Jillion,org.jcvi.jillion.internal.core.util,GrowableBitArray,488,0,22,0,94,0,35,0,24,0
Jillion,org.jcvi.jillion.internal.core.util,Caches.LRUCache,0,26,0,2,0,6,0,4,0,3
Jillion,org.jcvi.jillion.internal.core.util,Caches.SoftReferenceLRUCache,0,15,0,0,0,3,0,2,0,2
Jillion,org.jcvi.jillion.internal.core.util,Caches.AbstractReferencedCache.new Map.Entry() {...},35,0,0,0,5,0,4,0,4,0
Jillion,org.jcvi.jillion.internal.core.util,ComparableComparator,0,11,0,0,0,3,0,3,0,3
Jillion,org.jcvi.jillion.internal.core.util,RunLength,17,73,0,12,5,20,1,11,1,5
Jillion,org.jcvi.jillion.internal.core.util,FIFOQueue,4,7,0,0,1,2,1,2,1,2
Jillion,org.jcvi.jillion.internal.core.util,Caches.SoftReferenceCache,0,12,0,0,0,3,0,2,0,2
Jillion,org.jcvi.jillion.internal.core.util,AbstractFOQueue,52,54,1,3,11,15,12,9,11,8
Jillion,org.jcvi.jillion.internal.core.util,Sneak,14,2,2,0,5,1,3,1,2,1
Jillion,org.jcvi.jillion.internal.core.util,Caches.WeakReferenceLRUCache,0,15,0,0,0,3,0,2,0,2
Jillion,org.jcvi.jillion.internal.core.util,Validator,15,7,2,2,3,3,3,1,1,1
Jillion,org.jcvi.jillion.internal.core.util,GrowableIntArray,38,706,6,48,3,157,6,58,0,37
Jillion,org.jcvi.jillion.internal.core.util,ArrayUtil.IntArrayList,27,104,9,17,9,25,10,11,1,7
Jillion,org.jcvi.jillion.internal.core.util,GrowableLongArray,63,668,11,41,8,147,13,48,3,32
Jillion,org.jcvi.jillion.internal.core.util,GrowableByteArray,44,744,10,50,7,162,11,56,2,35
Jillion,org.jcvi.jillion.internal.core.util,ValidationException,9,0,0,0,4,0,2,0,2,0
Jillion,org.jcvi.jillion.internal.core.util,Caches.WeakReferenceCache,12,0,0,0,3,0,2,0,2,0
Jillion,org.jcvi.jillion.internal.core.util,Caches.AbstractReferencedCache,79,128,8,4,19,36,7,12,3,10
Jillion,org.jcvi.jillion.internal.core.util,JillionUtil,15,38,4,12,7,15,4,9,2,3
Jillion,org.jcvi.jillion.internal.core.util,BoundedPriorityQueue,0,80,0,6,0,20,0,11,0,8
Jillion,org.jcvi.jillion.internal.core.util,ArrayUtil,3,6,0,0,2,1,1,1,1,1
Jillion,org.jcvi.jillion.internal.core.util,GrowableCharArray,56,675,11,41,7,148,12,49,2,33
Jillion,org.jcvi.jillion.internal.core.util,Caches,28,28,0,0,9,6,8,6,8,6
Jillion,org.jcvi.jillion.internal.core.util,LIFOQueue,4,8,0,0,1,3,1,2,1,2
Jillion,org.jcvi.jillion.fasta.qual,AbstractQualityFastaRecordVisitor,0,20,0,0,0,7,0,2,0,2
Jillion,org.jcvi.jillion.fasta.qual,QualityFastaFileDataStoreBuilder,24,62,2,6,6,18,4,10,2,7
Jillion,org.jcvi.jillion.fasta.qual,QualityFastaWriterBuilder.TmpDirSortedPositionFastaWriter,11,17,0,0,3,5,1,3,1,3
Jillion,org.jcvi.jillion.fasta.qual,QualityFastaDataStore,6,0,0,0,1,0,1,0,1,0
Jillion,org.jcvi.jillion.fasta.qual,QualityFastaWriterBuilder,0,35,0,0,0,9,0,7,0,7
Jillion,org.jcvi.jillion.fasta.qual,QualityFastaFileDataStoreBuilder.new Object() {...},3,23,0,0,0,1,0,1,0,1
Jillion,org.jcvi.jillion.fasta.qual,UncommentedQualityFastaRecord,32,78,2,12,5,27,3,11,1,6
Jillion,org.jcvi.jillion.fasta.qual,QualityFastaWriterBuilder.QualitySequenceFastaRecordWriterImpl,0,22,0,0,0,5,0,4,0,4
Jillion,org.jcvi.jillion.fasta.qual,CommentedQualityFastaRecord,0,18,0,0,0,6,0,4,0,4
Jillion,org.jcvi.jillion.fasta.qual,QualityFastaWriterBuilder.InMemorySortedPositionFastaWriter,11,5,0,0,3,2,1,1,1,1
